kosul_id,dagilim,varyans_orani,n1,n2,etki_buyuklugu,student_t,welch_t,mann_whitney,permutasyon,bootstrap_t
0,normal,1,10,10,0.0,0.04733333333333333,0.04633333333333333,0.04133333333333333,0.049,0.042666666666666665
1,normal,1,10,10,0.2,0.07766666666666666,0.07633333333333334,0.065,0.07566666666666666,0.07
2,normal,1,10,10,0.5,0.183,0.17766666666666667,0.15566666666666668,0.17833333333333334,0.16733333333333333
3,normal,1,30,30,0.0,0.04666666666666667,0.04633333333333333,0.043333333333333335,0.046,0.04133333333333333
4,normal,1,30,30,0.2,0.11533333333333333,0.11466666666666667,0.11466666666666667,0.11466666666666667,0.11633333333333333
5,normal,1,30,30,0.5,0.48133333333333334,0.4806666666666667,0.461,0.48133333333333334,0.47533333333333333
6,normal,1,100,100,0.0,0.050666666666666665,0.050666666666666665,0.04833333333333333,0.051,0.051
7,normal,1,100,100,0.2,0.27066666666666667,0.27066666666666667,0.256,0.2723333333333333,0.26666666666666666
8,normal,1,100,100,0.5,0.946,0.946,0.934,0.9463333333333334,0.944
9,normal,1,10,50,0.0,0.049666666666666665,0.051333333333333335,0.049666666666666665,0.04833333333333333,0.04733333333333333
10,normal,1,10,50,0.2,0.08,0.08033333333333334,0.07333333333333333,0.076,0.072
11,normal,1,10,50,0.5,0.2796666666666667,0.25633333333333336,0.263,0.25833333333333336,0.248
12,normal,1,15,60,0.0,0.051666666666666666,0.054,0.051666666666666666,0.05466666666666667,0.05333333333333334
13,normal,1,15,60,0.2,0.095,0.09066666666666667,0.086,0.092,0.089
14,normal,1,15,60,0.5,0.4156666666666667,0.39966666666666667,0.401,0.3913333333333333,0.38233333333333336
15,normal,2,10,10,0.0,0.049666666666666665,0.047,0.041,0.052,0.044333333333333336
16,normal,2,10,10,0.2,0.07966666666666666,0.077,0.064,0.07966666666666666,0.07033333333333333
17,normal,2,10,10,0.5,0.18466666666666667,0.17633333333333334,0.16066666666666668,0.186,0.166
18,normal,2,30,30,0.0,0.049666666666666665,0.049,0.04666666666666667,0.04933333333333333,0.051
19,normal,2,30,30,0.2,0.12433333333333334,0.12266666666666666,0.11833333333333333,0.125,0.12066666666666667
20,normal,2,30,30,0.5,0.474,0.471,0.455,0.4746666666666667,0.4703333333333333
21,normal,2,100,100,0.0,0.052333333333333336,0.052333333333333336,0.059,0.05366666666666667,0.053
22,normal,2,100,100,0.2,0.292,0.2916666666666667,0.2826666666666667,0.28833333333333333,0.2833333333333333
23,normal,2,100,100,0.5,0.941,0.9403333333333334,0.9326666666666666,0.9396666666666667,0.939
24,normal,2,10,50,0.0,0.011333333333333334,0.048,0.022,0.042,0.04533333333333334
25,normal,2,10,50,0.2,0.046,0.10833333333333334,0.06766666666666667,0.09566666666666666,0.10466666666666667
26,normal,2,10,50,0.5,0.238,0.4013333333333333,0.2886666666666667,0.37933333333333336,0.38766666666666666
27,normal,2,15,60,0.0,0.016666666666666666,0.05,0.027,0.04766666666666667,0.050666666666666665
28,normal,2,15,60,0.2,0.061,0.13366666666666666,0.08666666666666667,0.13066666666666665,0.13533333333333333
29,normal,2,15,60,0.5,0.38166666666666665,0.5453333333333333,0.43033333333333335,0.5256666666666666,0.535
30,normal,4,10,10,0.0,0.06,0.056,0.05366666666666667,0.06,0.05333333333333334
31,normal,4,10,10,0.2,0.08133333333333333,0.076,0.07333333333333333,0.08166666666666667,0.06466666666666666
32,normal,4,10,10,0.5,0.19633333333333333,0.18366666666666667,0.181,0.19533333333333333,0.17133333333333334
33,normal,4,30,30,0.0,0.059666666666666666,0.05733333333333333,0.06333333333333334,0.059666666666666666,0.057
34,normal,4,30,30,0.2,0.11866666666666667,0.11666666666666667,0.12066666666666667,0.11766666666666667,0.11366666666666667
35,normal,4,30,30,0.5,0.4706666666666667,0.464,0.4513333333333333,0.47,0.459
36,normal,4,100,100,0.0,0.04933333333333333,0.04833333333333333,0.060333333333333336,0.048666666666666664,0.04533333333333334
37,normal,4,100,100,0.2,0.29633333333333334,0.29533333333333334,0.29133333333333333,0.2986666666666667,0.2916666666666667
38,normal,4,100,100,0.5,0.9396666666666667,0.939,0.919,0.939,0.9366666666666666
39,normal,4,10,50,0.0,0.0026666666666666666,0.057666666666666665,0.012,0.042333333333333334,0.05566666666666667
40,normal,4,10,50,0.2,0.018666666666666668,0.13033333333333333,0.04566666666666667,0.111,0.12466666666666666
41,normal,4,10,50,0.5,0.207,0.557,0.31466666666666665,0.5236666666666666,0.548
42,normal,4,15,60,0.0,0.004,0.04833333333333333,0.013666666666666667,0.043666666666666666,0.05
43,normal,4,15,60,0.2,0.03,0.156,0.071,0.14366666666666666,0.15833333333333333
